Data Set 2:Time(s),Data Set 2:Position(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
62.766,-0.0159000158309937,0.159090892835095,0.938255637642446
62.799,-0.0097000002861023,0.188804912045341,0.557057470548405
62.832,-0.00279998779296875,0.198148190975183,0.0283963651664858
62.865,0.00380000472068787,0.192087381977824,-0.287557174319684
62.898,0.00999999046325684,0.178114382506227,-0.596728233019095
62.931,0.0157999992370605,0.154629600569863,-0.872380355708175
62.964,0.0205999910831451,0.118855198826451,-1.10317518812076
62.997,0.0236999988555908,0.0788720218019432,-1.24647157995309
63.03,0.0257999897003174,0.0370369615779575,-1.3698992458466
63.063,0.0264999866485596,-0.0135521294693359,-1.41758453694082
63.096,0.0248000025749207,-0.0617845291240475,-1.31470490320118
63.129,0.0219999849796295,-0.0990741582029183,-1.20750072050811
63.162,0.0185999870300293,-0.142003274726542,-0.94059936423593
63.195,0.0124000012874603,-0.176178435685252,-0.667357309129171
63.228,0.00619998574256897,-0.187626265315493,-0.30682826544519
63.261,0,-0.193939390607964,0.0142420379105579
63.294,-0.00690001249313355,-0.188131324369907,0.366602262714021
63.327,-0.012800008058548,-0.169360125907741,0.700680569102751
63.36,-0.0182999968528748,-0.140993131531605,0.998309702125445
63.393,-0.0223999917507172,-0.101767731234679,1.24485463739836
63.426,-0.0252000093460083,-0.0559764628859875,1.39543655449538
63.459,-0.026199996471405,-0.00622888606806817,1.42594672807336
63.492,-0.0254999995231628,0.0404040971990403,1.36756203362282
63.525,-0.023499995470047,0.0853536255431885,1.24973032735989
63.558,-0.0196999907493591,0.124242470320624,1.07245146147086
63.591,-0.0151999890804291,0.157996560588025,0.826516292309313
63.624,-0.00900000333786011,0.181481467955048,0.497043930301399
63.657,-0.00279998779296875,0.1908249224878,0.154390791930915
63.69,0.00380000472068787,0.190740582918877,-0.173947943068059
63.723,0.00999999046325684,0.180892219848499,-0.548894655023553
63.756,0.0162000060081482,0.155639718678659,-0.903932460999659
63.789,0.0205999910831451,0.118265975806045,-1.17201795651268
63.822,0.0241000056266785,0.0757575285956546,-1.34588098683175
63.855,0.0257999897003174,0.0267675529024025,-1.41545890975247
63.888,0.0257999897003174,-0.0205387170065931,-1.38073964254451
63.921,0.024399995803833,-0.0659932793190165,-1.28076463634697
63.954,0.0212999880313873,-0.106481490311798,-1.01836241202203
63.987,0.0171999931335449,-0.140488172821731,-0.905675541599361
64.02,0.0119999945163727,-0.170538722465342,-0.644165885156628
64.053,0.00549998879432678,-0.18602687401402,-0.284338634404477
64.086,-0.000699996948242188,-0.187205370227088,0.0356400422051998
64.119,-0.00690001249313355,-0.182996594945984,0.34123619435322
64.152,-0.0130999982357025,-0.166750691755847,0.686594008183736
64.185,-0.0182999968528748,-0.136784406422761,1.01338763184703
64.218,-0.0223999917507172,-0.0969696325886505,1.24603030479127
64.251,-0.0248999893665314,-0.0500842326819301,1.33928922609291
64.284,-0.0254999995231628,-0.00715496564152361,1.36642806875365
64.317,-0.0254999995231628,0.0389730840018346,1.39264402478981
64.35,-0.0230999886989594,0.0887204350445815,1.29018844800434
64.383,-0.0193000137805939,0.127946086202804,1.0621089864432
64.416,-0.0144999921321869,0.160521906032299,0.764094546935017
64.449,-0.00830000638961792,0.178872008717013,0.438872489071642
64.482,-0.00249999761581421,0.188720497218038,0.128318595467813
64.515,0.00439998507499695,0.188383916612419,-0.258659470870415
64.548,0.0103000104427338,0.175000140161219,-0.561253391848573
64.581,0.0162000060081482,0.151346704173163,-0.873169192020732
64.614,0.0205999910831451,0.116245764674559,-1.14033146727234
64.647,0.0241000056266785,0.073232333668154,-1.31031214869239
64.68,0.0254999995231628,0.0267675529024046,-1.3771985705945
64.713,0.0257999897003174,-0.0186027701856332,-1.3873295239354
64.746,0.024399995803833,-0.0664983634595524,-1.21434471721576
64.779,0.0212999880313873,-0.110016878606491,-1.10746734260261
64.812,0.0167999863624573,-0.142760825678952,-0.874229169699713
64.845,0.0117000043392181,-0.167845049089047,-0.608001825793453
64.878,0.00549998879432678,-0.183754145898395,-0.305948983920318
64.911,-0.000699996948242188,-0.18914124178966,0.0313876897823248
64.944,-0.0072999894618988,-0.182491560977711,0.430226355889335
64.977,-0.0130999982357025,-0.162626331302048,0.739931510542795
65.01,-0.0182999968528748,-0.132491667864701,1.01513133537651
